participant_id,fsm_type,task,test_order,trial_type,max_beta
73,easy,explanation,CEP,visible,0.140000000000001
73,easy,explanation,CEP,hidden,0.2600000000000011
73,easy,explanation,CEP,hidden_an,0.3500000000000012
73,easy,prediction,CEP,visible,1.0000000000000018
73,easy,prediction,CEP,hidden,-0.03999999999999915
73,easy,prediction,CEP,hidden_an,-0.08999999999999919
75,easy,control,EPC,visible,1.0000000000000018
75,easy,control,EPC,hidden,1.0000000000000018
75,easy,control,EPC,hidden_an,1.0000000000000018
75,easy,explanation,EPC,visible,-0.0999999999999992
75,easy,explanation,EPC,hidden,0.41500000000000137
75,easy,explanation,EPC,hidden_an,0.39500000000000135
75,easy,prediction,EPC,visible,1.0000000000000018
75,easy,prediction,EPC,hidden,0.4450000000000012
75,easy,prediction,EPC,hidden_an,1.0000000000000018
76,easy,control,CPE,visible,1.0000000000000018
76,easy,control,CPE,hidden,0.27500000000000124
76,easy,control,CPE,hidden_an,8.881784197001252e-16
76,easy,explanation,CPE,visible,0.3500000000000012
76,easy,explanation,CPE,hidden,-0.11499999999999921
76,easy,explanation,CPE,hidden_an,-0.024999999999999134
76,easy,prediction,CPE,visible,1.0000000000000018
76,easy,prediction,CPE,hidden,0.30000000000000115
76,easy,prediction,CPE,hidden_an,0.6950000000000016
77,easy,control,ECP,visible,1.0000000000000018
77,easy,control,ECP,hidden,0.3650000000000011
77,easy,control,ECP,hidden_an,1.0000000000000018
77,easy,explanation,ECP,visible,-0.3449999999999994
77,easy,explanation,ECP,hidden,-0.36499999999999944
77,easy,explanation,ECP,hidden_an,-0.2149999999999993
77,easy,prediction,ECP,visible,1.0000000000000018
77,easy,prediction,ECP,hidden,-0.1049999999999992
77,easy,prediction,ECP,hidden_an,-1.0
79,easy,control,CPE,visible,0.28500000000000103
79,easy,control,CPE,hidden,0.245000000000001
79,easy,control,CPE,hidden_an,0.2150000000000012
79,easy,explanation,CPE,visible,-0.07499999999999918
79,easy,explanation,CPE,hidden,0.3600000000000012
79,easy,explanation,CPE,hidden_an,0.28500000000000103
79,easy,prediction,CPE,visible,0.3550000000000013
79,easy,prediction,CPE,hidden,1.0000000000000018
79,easy,prediction,CPE,hidden_an,0.8200000000000016
78,easy,control,ECP,visible,0.28500000000000103
78,easy,control,ECP,hidden,-0.12999999999999923
78,easy,control,ECP,hidden_an,-0.004999999999999116
78,easy,explanation,ECP,visible,-0.0999999999999992
78,easy,explanation,ECP,hidden,0.20000000000000107
78,easy,explanation,ECP,hidden_an,1.0000000000000018
78,easy,prediction,ECP,visible,-0.0949999999999992
78,easy,prediction,ECP,hidden,-0.11499999999999921
78,easy,prediction,ECP,hidden_an,-0.04499999999999915
80,easy,control,ECP,visible,0.28500000000000103
80,easy,control,ECP,hidden,0.06000000000000094
80,easy,control,ECP,hidden_an,1.0000000000000018
80,easy,explanation,ECP,visible,0.09500000000000108
80,easy,explanation,ECP,hidden,-0.3549999999999994
80,easy,explanation,ECP,hidden_an,-0.3449999999999994
80,easy,prediction,ECP,visible,1.0000000000000018
80,easy,prediction,ECP,hidden,0.3650000000000011
80,easy,prediction,ECP,hidden_an,0.005000000000000782
81,easy,control,ECP,visible,0.1250000000000009
81,easy,control,ECP,hidden,0.06500000000000083
81,easy,control,ECP,hidden_an,-0.26999999999999935
81,easy,explanation,ECP,visible,0.5300000000000014
81,easy,explanation,ECP,hidden,-0.5599999999999996
81,easy,explanation,ECP,hidden_an,0.08500000000000085
81,easy,prediction,ECP,visible,-0.12499999999999922
81,easy,prediction,ECP,hidden,0.31000000000000116
81,easy,prediction,ECP,hidden_an,0.15000000000000102
83,easy,control,PCE,visible,1.0000000000000018
83,easy,control,PCE,hidden,-0.28499999999999936
83,easy,control,PCE,hidden_an,-0.2149999999999993
83,easy,explanation,PCE,visible,-0.3549999999999994
83,easy,explanation,PCE,hidden,-1.0
83,easy,explanation,PCE,hidden_an,-1.0
83,easy,prediction,PCE,visible,0.28500000000000103
83,easy,prediction,PCE,hidden,0.030000000000000915
83,easy,prediction,PCE,hidden_an,0.1250000000000009
82,easy,control,ECP,visible,0.08000000000000096
82,easy,control,ECP,hidden,0.27000000000000113
82,easy,control,ECP,hidden_an,1.0000000000000018
82,easy,explanation,ECP,visible,-0.08499999999999919
82,easy,explanation,ECP,hidden,-0.36499999999999944
82,easy,explanation,ECP,hidden_an,-0.28999999999999937
82,easy,prediction,ECP,visible,0.1450000000000009
82,easy,prediction,ECP,hidden,0.3450000000000011
82,easy,prediction,ECP,hidden_an,0.2500000000000011
84,easy,control,PEC,visible,1.0000000000000018
84,easy,control,PEC,hidden,0.30000000000000115
84,easy,control,PEC,hidden_an,0.17000000000000104
84,easy,explanation,PEC,visible,0.3450000000000011
84,easy,explanation,PEC,hidden,-0.3499999999999994
84,easy,explanation,PEC,hidden_an,-0.19499999999999929
84,easy,prediction,PEC,visible,1.0000000000000018
84,easy,prediction,PEC,hidden,0.1450000000000009
84,easy,prediction,PEC,hidden_an,-0.15999999999999925
87,easy,control,CEP,visible,0.5150000000000015
87,easy,control,CEP,hidden,1.0000000000000018
87,easy,control,CEP,hidden_an,1.0000000000000018
87,easy,explanation,CEP,visible,-0.024999999999999134
87,easy,explanation,CEP,hidden,0.10500000000000087
87,easy,explanation,CEP,hidden_an,0.07500000000000107
87,easy,prediction,CEP,visible,0.13500000000000112
87,easy,prediction,CEP,hidden,0.3850000000000011
