participant_id,task,condition,predicted_accuracy,fsm_number,fsm_type,mm_accuracy,count_nan,learning_condition
57,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
57,explanation,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
58,explanation,visible,0.9468488636019362,22.0,hard,0.8,0.0,Experiment 1 (no preview)
58,explanation,hidden,0.826353352980995,22.0,hard,0.7,0.0,Experiment 1 (no preview)
58,explanation,hidden_an,0.7957596977159082,22.0,hard,0.8,0.0,Experiment 1 (no preview)
58,explanation,hidden_normative_subset,0.826353352980995,22.0,hard,,,Experiment 1 (no preview)
58,explanation,hidden_an_subset,0.7957596977159082,22.0,hard,,,Experiment 1 (no preview)
59,explanation,visible,0.5,22.0,hard,0.5,0.0,Experiment 1 (no preview)
59,explanation,hidden,0.5399148845555657,22.0,hard,0.5,0.0,Experiment 1 (no preview)
59,explanation,hidden_an,0.7891817065222528,22.0,hard,0.7,0.0,Experiment 1 (no preview)
59,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
59,explanation,hidden_an_subset,0.6637386974043527,22.0,hard,,,Experiment 1 (no preview)
60,explanation,visible,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
60,explanation,hidden,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
60,explanation,hidden_an,0.6547534606063191,22.0,hard,0.5,0.0,Experiment 1 (no preview)
60,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
60,explanation,hidden_an_subset,0.6984652160025387,22.0,hard,,,Experiment 1 (no preview)
61,explanation,visible,0.5099986668799654,22.0,hard,0.5,0.0,Experiment 1 (no preview)
61,explanation,hidden,0.5299640517645717,22.0,hard,0.5,0.0,Experiment 1 (no preview)
61,explanation,hidden_an,0.7824497764231125,22.0,hard,0.7,0.0,Experiment 1 (no preview)
61,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
61,explanation,hidden_an_subset,0.6637386974043527,22.0,hard,,,Experiment 1 (no preview)
62,explanation,visible,0.6813537337890255,22.0,hard,0.6,0.0,Experiment 1 (no preview)
